"","Pseudotime"
"aE17.5_2_09",0
"aE17.5_2_16",0.00536344369817959
"aE17.5_1_11",0.0224540014473404
"aE17.5_3_07",0.0228914046169488
"aE17.5_4_06",0.030221852549756
"aE17.5_3_04",0.037523364734436
"aE17.5_2_11",0.0553679675086269
"aE17.5_1_25",0.0728599938285692
"aE17.5_4_01",0.0803528937676345
"aE17.5_4_03",0.083049066208567
"aE17.5_4_05",0.0958721077154115
"aP0_1_13",0.0981808678321415
"aE17.5_3_06",0.103173533695918
"aE17.5_2_07",0.108176822198912
"aP0_3_01",0.11396936976899
"aE17.5_2_21",0.116722329611275
"aE17.5_2_02",0.116990031439839
"aE17.5_2_14",0.125479922768305
"aP0_3_08",0.126678585728638
"aE17.5_1_28",0.132596689672375
"aE17.5_1_05",0.133604465362881
"aP0_1_21",0.139843195638156
"aE17.5_2_01",0.140428714861919
"aP0_3_03",0.140907737474254
"aP0_3_07",0.152646973604622
"aP0_2_11",0.157738136720371
"aE17.5_2_20",0.169076326470221
"aE17.5_1_02",0.169238953321495
"aE17.5_3_02",0.175000445147623
"aE17.5_1_04",0.178793149412958
"aE17.5_1_06",0.178829967588285
"aE17.5_1_19",0.179944210812935
"aE17.5_1_16",0.18560161362956
"aE17.5_4_04",0.188246297519417
"aE17.5_2_15",0.190784323740476
"aE17.5_1_24",0.191044942462574
"aE17.5_2_06",0.197374696792962
"aE17.5_4_02",0.204026788043665
"aE17.5_2_18",0.212751704462088
"aE17.5_1_20",0.215050795728465
"aP0_1_18",0.215833913610807
"aE17.5_2_04",0.218577906131165
"aP0_2_08",0.223947102658195
"aP0_3_13",0.235399052644118
"aP0_3_05",0.237505884995466
"aE17.5_1_12",0.237506471349389
"aP0_2_02",0.239395841509016
"aE17.5_1_17",0.239674643275791
"aE17.5_1_27",0.239799387247892
"aE17.5_2_08",0.246058666895186
"aE17.5_2_03",0.246801039011166
"aE17.5_1_21",0.249043908439368
"aP0_1_14",0.25090666704335
"aE17.5_1_03",0.25102029193264
"aE17.5_2_19",0.254972197793528
"aE17.5_3_05",0.255037942095856
"aE17.5_1_13",0.257032150508431
"aE17.5_1_09",0.266014761566009
"aP0_3_11",0.280699493299383
"aE17.5_3_08",0.285446616201491
"aE17.5_1_14",0.289920093832566
"aE17.5_1_30",0.291588710101233
"aE17.5_2_12",0.297346538254648
"aE17.5_1_18",0.299449687439925
"aE17.5_1_26",0.300505730575942
"aE17.5_1_01",0.301405565765346
"aP0_1_06",0.30330689486838
"aP0_1_12",0.303467419543142
"aE17.5_2_17",0.306268128113204
"aP0_1_08",0.307502113845011
"aP0_1_03",0.315779758822501
"aE17.5_3_01",0.316366157530646
"aE17.5_3_03",0.320944560186158
"aP0_1_02",0.321524053934448
"aE17.5_1_08",0.322023081160323
"aP0_3_09",0.322386018465229
"aE17.5_1_10",0.324392260558155
"aP0_3_12",0.325516233819613
"aE17.5_2_05",0.330963400919248
"aP0_1_20",0.333364494308253
"aE17.5_2_13",0.338748659572892
"aP0_1_01",0.340289997667651
