"SiteCode";"la_id";"Classification";"os_grid_x";"os_grid_y";"Latitude";"Longitude";"OpeningDate";"ClosingDate"
"EF1";206;"Urban Background";560155;103154;50.805786140485;0.271609212739733;2019-01-15 00:00:00;
"NL1";571;"Industrial";0;0;49.7667866669653;-7.55715939721731;2019-04-25 01:00:00;
"NL2";571;"Industrial";0;0;49.7667866669653;-7.55715939721731;2019-04-25 01:00:00;2019-07-15 01:00:00
"NL3";571;"Industrial";0;0;49.7667866669653;-7.55715939721731;2019-04-25 01:00:00;
"HP0";651;"Urban Background";536473;174128;51.4496728960354;-0.0374153592115306;2018-11-27 00:00:00;
"MS3";650;"Kerbside";528125;182016;51.5225093597419;-0.154622154656843;1997-08-12 10:00:00;
"SK8";28;"Roadside";533488;179804;51.5013906712066;-0.0782034373606952;2019-06-01 01:00:00;
"ES3";180;"Roadside";445310;119148;50.9699495242356;-1.35608449239418;2019-01-01 00:00:00;
"OP1";651;"Urban Background";536473;174128;51.4496728960354;-0.0374153592115306;2019-07-04 01:00:00;2019-11-06 00:00:00
"KX8";503;"Urban Background";529903;183740;51.5375964796089;-0.128373685865815;2019-08-27 01:00:00;2020-02-13 00:00:00
"NL4";571;"Industrial";0;0;49.7667866669653;-7.55715939721731;2019-11-01 00:00:00;
"GV3";500;"Roadside";528409;180965;51.5129998832095;-0.150913488159214;2019-10-29 12:00:00;2019-12-04 00:00:00
"C7M";650;"Rural";;;51.5223667052165;-0.154699996073154;2019-11-22 11:00:00;
"LS7";209;"Roadside";544317;101483;50.7949277155416;0.0463360344017596;2020-03-24 00:00:00;
"HPZ";651;"Urban Background";536473;174128;51.4496728960354;-0.0374153592115306;2018-11-27 00:00:00;
"RG8";40;"Industrial";527693;148464;51.221102;-0.17288661;2020-03-27 00:00:00;
"GV2";33;"Roadside";528409;180965;51.5129998832095;-0.150913488159214;2019-08-22 17:00:00;
"B7M";650;"Urban Background";127317;560150;54.8615570906125;-6.25087210852272;2012-10-31 00:00:00;
"H7L";650;"Urban Background";405650;287050;52.481315723581;-1.91823499408165;2019-11-04 09:00:00;
"EGI";55;"Indoor";;;;;2019-07-23 01:00:00;
"EGO";55;"Indoor";;;;;2019-07-23 01:00:00;
"OP3";651;"Urban Background";536473;174128;51.4496728960354;-0.0374153592115306;2008-10-01 01:00:00;
"OP2";651;"Urban Background";536473;174128;51.4496728960354;-0.0374153592115306;2019-07-04 01:00:00;2019-10-24 01:00:00
"LW5";23;"Urban Background";537228;177471;51.4795312838203;-0.0252606031340197;2019-09-20 01:00:00;
"S7N";650;"Urban Background";0;0;49.7667866669653;-7.55715939721731;2011-11-14 00:00:00;
"LC9";652;"Roadside";459361;304908;52.6386492769346;-1.12422962348724;2015-06-01 01:00:00;
"NL5";571;"Industrial";0;0;49.7667866669653;-7.55715939721731;2019-11-01 00:00:00;
"WMD";33;"Roadside";528731;178664;51.4922482333024;-0.147114752900186;2020-04-27 01:00:00;
"B7E";650;"Urban Background";146231;529911;54.6004060367713;-5.93056356781934;2019-11-11 00:00:00;
"D7M";650;"Urban Background";140795;523808;54.5429354533189;-6.00911938425979;2019-11-11 00:00:00;
"Z7M";650;"Rural";580075;159700;51.3078998418593;0.582148488015024;2019-11-07 09:00:00;
"N7K";650;"Urban Background";524045;181752;51.5210467476039;-0.213492139585065;2019-11-07 09:00:00;
"C7F";650;"Urban Background";318417;177310;51.4815671179655;3.17623372522064;2019-11-08 09:00:00;
"G7W";650;"Urban Background";259694;665898;55.8657325746225;-4.24360668884696;2019-11-05 09:00:00;
"G7L";650;"Roadside";260012;665344;55.8608512555174;-4.23824336393237;2019-11-05 09:00:00;
"H7A";650;"Roadside";411855;290590;52.513041616852;-1.8267446761489;2019-11-04 09:00:00;
"A7M";650;"Urban Background";322050;656250;55.7931967414314;-3.24478170746499;2019-11-05 09:00:00;
"JC5";506;"Kerbside";0;0;49.7667866669653;-7.55715939721731;2017-12-01 00:00:00;
"ZR4";56;"Roadside";558487;174671;51.448823581151;0.279379130223739;2019-01-03 00:00:00;
"CI5";204;"Roadside";487211;105373;50.8412972202306;-0.762745555534531;2019-02-05 00:00:00;
"ST1";29;"Roadside";525680;164420;51.365744;-0.195563;1995-04-26 08:00:00;2002-04-26 01:00:00
"RY1";211;"Rural";594283;119082;50.938451;0.763915;2002-01-11 13:30:00;
"SB1";150;"Urban Background";501906;221822;51.885670066407;-0.520733740749;2000-10-02 07:00:00;2010-04-28 01:00:00
"EL1";44;"Urban Background";511403;164915;51.3723482488227;-0.400919394475775;2001-01-01 00:00:00;2009-04-06 01:00:00
"EL2";44;"Roadside";514024;164792;51.3707230028459;-0.363320598903379;2005-09-20 01:00:00;2008-07-18 09:30:00
"CT6";7;"Roadside";532527;180789;51.510499;-0.091634;2007-04-01 01:00:00;
"CD4";6;"Urban Background";530511;181665;51.518846;-0.12034;2007-06-22 01:00:00;2010-07-13 01:00:00
"CD5";6;"Urban Background";530511;181665;51.518846;-0.12034;2007-06-22 01:00:00;2011-01-15 00:00:00
"OX3";276;"Roadside";468950;194454;51.6446400849894;-1.00492380660891;2007-07-20 01:00:00;2011-02-01 00:00:00
"SU4";200;"Roadside";544614;101319;50.7933799217824;0.0504827633419067;2008-02-08 00:00:00;2008-07-10 01:00:00
"LB0";500;"Roadside";530250;177750;51.4836868929711;-0.125584065372488;2007-07-31 02:00:00;2007-09-04 01:00:00
"GR4";11;"Suburban";543978;174655;51.45258;0.070766;1995-01-01 00:00:00;
"BQ1";3;"Kerbside";552566;175384;51.4568546603968;0.194546362638148;2007-08-14 01:00:00;2010-04-13 01:00:00
"SK1";28;"Urban Background";532240;178561;51.490548;-0.09661;1993-03-01 00:00:00;2009-06-17 13:00:00
"HP2";651;"Urban Background";536473;174128;51.449695;-0.03742133;2018-11-27 00:00:00;
"HP6";651;"Urban Background";536473;174128;51.4496728960354;-0.0374153592115306;2018-11-27 00:00:00;
"HP9";651;"Urban Background";536473;174128;51.4496728960354;-0.0374153592115306;2018-11-27 00:00:00;
"ST4";29;"Kerbside";528925;163804;51.3586596124998;-0.149723946604927;2002-07-17 01:00:00;
"SX3";200;"Roadside";0;0;49.7667866669653;-7.55715939721731;2002-11-12 12:00:00;2003-03-05 00:00:00
"TH1";30;"Urban Background";537509;180867;51.510012;-0.019866;1994-01-04 17:00:00;2013-07-02 01:00:00
"TH2";30;"Roadside";535927;182221;51.5225294860844;-0.0421550991900347;1994-03-10 00:00:00;
"TH3";30;"Urban Background";535100;182664;51.526737;-0.053869;1999-10-24 13:00:00;2009-11-02 00:00:00
